registration,icao24,operator,model,idle_days,status
HS-ABA,880441,AIQ,A320 216,,ERROR
HS-ABB,880442,AIQ,A320 216,,ERROR
HS-ABC,880443,AIQ,A320 216,,ERROR
HS-ABD,880444,AIQ,A320 216,,ERROR
HS-ABE,880445,AIQ,A320 216,,ERROR
HS-ABF,880446,AIQ,A320 216,,ERROR
HS-ABG,880447,AIQ,A320 216,,ERROR
HS-ABH,880448,AIQ,A320 216,,ERROR
HS-ABI,880449,AIQ,A320 216,,ERROR
HS-ABJ,88044a,AIQ,A320 216,,ERROR
HS-ABK,88044b,AIQ,A320 216,,ERROR
HS-ABL,88044c,AIQ,A320 216,,ERROR
HS-ABM,88044d,AIQ,A320 216,,ERROR
HS-ABN,88044e,AIQ,A320 216,,ERROR
HS-ABO,88044f,AIQ,A320 216,,ERROR
HS-ABP,880450,AIQ,A320 216,,ERROR
HS-ABQ,880451,AIQ,A320 216,,ERROR
HS-ABR,880452,AIQ,A320 216,,ERROR
HS-ABS,880453,AIQ,A320 216,,ERROR
HS-ABT,880454,AIQ,A320 216,,ERROR
HS-ABU,880455,AIQ,A320 216,,ERROR
HS-ABV,880456,AIQ,A320 216,,ERROR
HS-ABW,880457,AIQ,A320 216,,ERROR
HS-ABX,880458,AIQ,A320-214,,ERROR
HS-ABY,880459,AIQ,A320 214,,ERROR
HS-ABZ,88045a,AIQ,A320 216,,ERROR
HS-BBA,880841,AIQ,A320 214,,ERROR
HS-BBB,880842,AIQ,A320 216,,ERROR
HS-BBC,880843,AIQ,A320 216SL,,ERROR
HS-BBD,880844,AIQ,A320 216SL,,ERROR
HS-BBE,880845,AIQ,A320 216SL,,ERROR
HS-BBF,880846,AIQ,A320 216SL,,ERROR
HS-BBG,880847,AIQ,A320 216SL,,ERROR
HS-BBH,880848,AIQ,A320 216SL,,ERROR
HS-BBI,880849,AIQ,A320 216SL,,ERROR
HS-BBJ,88084a,AIQ,A320 216SL,,ERROR
HS-BBK,88084b,AIQ,A320 216SL,,ERROR
HS-BBL,88084c,AIQ,A320 216SL,,ERROR
HS-BBM,88084d,AIQ,A320 216SL,,ERROR
HS-BBN,88084e,AIQ,A320 216SL,,ERROR
HS-BBO,88084f,AIQ,A320 216SL,,ERROR
HS-BBP,880850,AIQ,A320 216SL,,ERROR
HS-BBQ,880851,AIQ,A320 216SL,,ERROR
HS-BBR,880852,AIQ,A320 216SL,,ERROR
HS-BBS,880853,AIQ,A320 216,,ERROR
HS-BBT,880854,AIQ,A320 216,,ERROR
HS-BBU,880855,AIQ,A320 216SL,,ERROR
HS-BBV,880856,AIQ,A320 216SL,,ERROR
HS-BBW,880857,AIQ,A320 216SL,,ERROR
HS-BBX,880858,AIQ,A320 251NSL,,ERROR
HS-BBY,880859,AIQ,A320 251NSL,,ERROR
HS-BBZ,88085a,AIQ,A320 251NSL,,ERROR
HS-CBA,880c41,AIQ,A320 216SL,,ERROR
HS-CBB,880c42,AIQ,A320 251NSL,,ERROR
HS-CBJ,880c4a,AIQ,A320-251N,,ERROR
PK-AXD,8a017c,AWQ,A320 214,,ERROR
PK-AXE,8a018c,AWQ,A320 216,,ERROR
PK-AXF,8a01ba,AWQ,A320 216,,ERROR
PK-AXG,8a01bb,AWQ,A320 216,,ERROR
PK-AXH,8a01c9,AWQ,A320 216,,ERROR
PK-AXI,8a01e2,AWQ,A320 216,,ERROR
PK-AXJ,8a01fe,AWQ,A320 216,,ERROR
